samples	Site	Depth
ASCC1_C2_4_0923_SJ_1C_5	SJ	0_5cm
ASCC100_11_73_0923_TP_1C_5	TP	0_5cm
ASCC101_10_68_0928_TP_1C_5	TP	0_5cm
ASCC102_12_82_0923_TP_1C_5	TP	0_5cm
ASCC103_11_73_0923_TP_1C_15	TP	5_15cm
ASCC104_5_32_0923_TP_1C_15	TP	5_15cm
ASCC105_3_15_0923_TP_1C_15	TP	5_15cm
ASCC106_7_43_0923_TP_1C_5	TP	0_5cm
ASCC108_15_100_0923_TP_1C_5	TP	0_5cm
ASCC109_6_39_0923_TP_1C_5	TP	0_5cm
ASCC11_C2_5_0923_SJ_1C_15	SJ	5_15cm
ASCC110_1_3_0923_TP_1C_5	TP	0_5cm
ASCC111_7_44_0923_TP_1C_15	TP	5_15cm
ASCC112_8_51_0923_TP_1C_15	TP	5_15cm
ASCC113_12_84_0923_TP_1C_15	TP	5_15cm
ASCC114_9_60_0923_TP_1C_5	TP	0_5cm
ASCC115_3_15_0923_TP_1C_5	TP	0_5cm
ASCC116_4_24_0923_TP_1C_5	TP	0_5cm
ASCC117_14_94_0923_TP_1C_15	TP	5_15cm
ASCC118_16_110_0923_TP_1C_5	TP	0_5cm
ASCC119_11_72_0923_TP_1C_5	TP	0_5cm
ASCC12_T1A_6_0923_SJ_1C_5	SJ	0_5cm
ASCC120_3_16_0923_TP_1C_15	TP	5_15cm
ASCC121_6_38_0923_TP_1C_5	TP	0_5cm
ASCC122_8_52_0923_TP_1C_5	TP	0_5cm
ASCC123_2_12_0923_TP_1C_15	TP	5_15cm
ASCC124_4_24_0923_TP_1C_15	TP	5_15cm
ASCC125_14_97_0923_TP_1C_5	TP	0_5cm
ASCC126_6_39_0923_TP_1C_15	TP	5_15cm
ASCC127_5_32_0923_TP_1C_5	TP	0_5cm
ASCC128_15_100_0923_TP_1C_15	TP	5_15cm
ASCC129_13_87_0923_TP_1C_5	TP	0_5cm
ASCC13_T3A_4_0923_SJ_1C_5	SJ	0_5cm
ASCC130_4_26_0923_TP_1C_15	TP	5_15cm
ASCC131_5_33_0923_TP_1C_5	TP	0_5cm
ASCC132_1_4_0923_TP_1C_5	TP	0_5cm
ASCC133_2_12_0923_TP_1C_15	TP	5_15cm
ASCC134_10_67_0923_TP_1C_15	TP	5_15cm
ASCC135_16_111_0923_TP_1C_15	TP	5_15cm
ASCC136_4_26_0923_TP_1C_5	TP	0_5cm
ASCC137_6_38_0923_TP_1C_15	TP	5_15cm
ASCC138_2_13_0923_TP_1C_15	TP	5_15cm
ASCC139_14_94_0923_TP_1C_5	TP	0_5cm
ASCC14_C1_2_0923_SJ_1C_5	SJ	0_5cm
ASCC140_5_33_0923_TP_1C_15	TP	5_15cm
ASCC141_7_43_0923_TP_1C_15	TP	5_15cm
ASCC142_9_58_0923_TP_1C_15	TP	5_15cm
ASCC143_1_3_0923_TP_1C_5	TP	0_5cm
ASCC145_15_101_0923_TP_1C_15	TP	5_15cm
ASCC146_12_82_0923_TP_1C_15	TP	5_15cm
ASCC148_10_67_0923_TP_1C_5	TP	0_5cm
ASCC149_3_16_0923_TP_1C_5	TP	0_5cm
ASCC15_T3C_4_0923_SJ_1C_5	SJ	0_5cm
ASCC150_9_58_0923_TP_1C_5	TP	0_5cm
ASCC151_9_60_0923_TP_1C_15	TP	5_15cm
ASCC152_7_44_0923_TP_1C_5	TP	0_5cm
ASCC153_13_87_0923_TP_1C_15	TP	5_15cm
ASCC154_15_101_0923_TP_1C_5	TP	0_5cm
ASCC155_13_88_0923_TP_1C_5	TP	0_5cm
ASCC156_8_52_0923_TP_1C_15	TP	5_15cm
ASCC157_13_88_0923_TP_1C_15	TP	5_15cm
ASCC158_1_3_0923_TP_1C_15	TP	5_15cm
ASCC159_12_84_0923_TP_1C_5	TP	0_5cm
ASCC16_T3B_2_0923_SJ_1C_5	SJ	0_5cm
ASCC160_2_13_0923_TP_1C_OM	TP	OM
ASCC161_6_38_0923_TP_1C_OM2	TP	OM
ASCC162_1_3_0923_TP_1C_OM	TP	OM
ASCC163_13_88_0923_TP_1C_OM	TP	OM
ASCC164_2_12_0923_TP_1C_OM	TP	OM
ASCC165_7_44_0923_TP_1C_OM	TP	OM
ASCC166_5_32_0923_TP_1C_OM	TP	OM
ASCC167_15_100_0923_TP_1C_OM	TP	OM
ASCC168_10_68_0923_TP_1C_OM	TP	OM
ASCC169_14_97_0923_TP_1C_OM	TP	OM
ASCC17_T4A_3_0923_SJ_1C_15	SJ	5_15cm
ASCC170_12_82_0923_TP_1C_OM	TP	OM
ASCC171_3_16_0923_TP_1C_OM	TP	OM
ASCC172_11_72_0923_TP_1C_OM	TP	OM
ASCC173_5_33_0923_TP_1C_OM	TP	OM
ASCC174_3_15_0923_TP_1C_OM	TP	OM
ASCC175_10_67_0923_TP_1C_OM	TP	OM
ASCC176_8_52_0923_TP_1C_OM	TP	OM
ASCC177_14_94_0923_TP_1C_OM	TP	OM
ASCC178_4_26_0923_TP_1C_OM	TP	OM
ASCC179_16_110_0923_TP_1C_OM	TP	OM
ASCC18_C3_5_0923_SJ_1C_15	SJ	5_15cm
ASCC180_7_43_0923_TP_1C_OM	TP	OM
ASCC181_11_73_0923_TP_1C_OM	TP	OM
ASCC182_1_4_0923_TP_1C_OM	TP	OM
ASCC183_4_24_0923_TP_1C_OM	TP	OM
ASCC185_15_101_0923_TP_1C_OM	TP	OM
ASCC186_9_60_0923_TP_1C_OM	TP	OM
ASCC189_13_87_0923_TP_1C_OM	TP	OM
ASCC19_T2B_2_0923_SJ_1C_15	SJ	5_15cm
ASCC190_16_111_0923_SJ_1C_OM	SJ	OM
ASCC191_T3B_2_0923_SJ_1C_OM	SJ	OM
ASCC192_T2A_4_0923_SJ_1C_OM	SJ	OM
ASCC194_C1_5_0923_SJ_1C_OM	SJ	OM
ASCC195_C2_2_0923_SJ_1C_OM	SJ	OM
ASCC196_T1B_3_0923_SJ_1C_OM	SJ	OM
ASCC198_T1C_6_0923_SJ_1C_OM	SJ	OM
ASCC2_T1A_6_0923_SJ_1C_15	SJ	5_15cm
ASCC20_T3A_6_0923_SJ_1C_5	SJ	0_5cm
ASCC201_T2B_4_0923_SJ_1C_OM	SJ	OM
ASCC202_C4_6_0923_SJ_1C_OM	SJ	OM
ASCC203_C3_4_0923_SJ_1C_OM	SJ	OM
ASCC204_T4A_4_0923_SJ_1C_OM	SJ	OM
ASCC205_C2_5_0923_SJ_1C_OM	SJ	OM
ASCC206_T4B_4_0923_SJ_1C_OM	SJ	OM
ASCC207_T3A_6_0923_SJ_1C_OM	SJ	OM
ASCC208_T1A_6_0923_SJ_1C_OM	SJ	OM
ASCC209_T3A_5_0923_SJ_1C_OM	SJ	OM
ASCC21_T2C_3_0923_SJ_1C_15	SJ	5_15cm
ASCC210_T2C_7_0923_SJ_1C_OM	SJ	OM
ASCC211_C4_4_0923_SJ_1C_OM	SJ	OM
ASCC212_T4C_6_0923_SJ_1C_OM	SJ	OM
ASCC213_T3A_4_0923_SJ_1C_OM	SJ	OM
ASCC214_C1_4_0923_SJ_1C_OM	SJ	OM
ASCC215_T4A_6_0923_SJ_1C_OM	SJ	OM
ASCC216_T4B_5_0923_SJ_1C_OM	SJ	OM
ASCC218_T1A_3_0923_SJ_1C_OM	SJ	OM
ASCC219_T4A_3_0923_SJ_1C_OM	SJ	OM
ASCC22_T3B_5_0923_SJ_1C_15	SJ	5_15cm
ASCC220_T1A_2_0923_SJ_1C_OM	SJ	OM
ASCC221_C4_3_0923_SJ_1C_OM	SJ	OM
ASCC222_T1A_2_0923_SJ_1C_OM	SJ	OM
ASCC223_C2_4_0923_SJ_1C_OM	SJ	OM
ASCC224_C3_5_0923_SJ_1C_OM	SJ	OM
ASCC225_T1C_4_0923_SJ_1C_OM	SJ	OM
ASCC226_T2C_5_0923_SJ_1C_OM	SJ	OM
ASCC227_TB3_3_0923_SJ_1C_OM	SJ	OM
ASCC228_T4B_3_0923_SJ_1C_OM	SJ	OM
ASCC229_C3_3_0923_SJ_1C_OM	SJ	OM
ASCC23_C4_4_0923_SJ_1C_15	SJ	5_15cm
ASCC230_T2B_3_0923_SJ_1C_OM	SJ	OM
ASCC231_T2A_3_0923_SJ_1C_OM	SJ	OM
ASCC232_T2A_5_0923_SJ_1C_OM	SJ	OM
ASCC233_T3C_4_0923_SJ_1C_OM	SJ	OM
ASCC234_T4C_5_0923_SJ_1C_OM	SJ	OM
ASCC235_C1_5_0923_SJ_1C_OM	SJ	OM
ASCC236_T4C_4_0923_SJ_1C_OM	SJ	OM
ASCC237_T1B_5_0923_SJ_1C_OM	SJ	OM
ASCC238_112_0823_SF_1C_5	SF	0_5cm
ASCC239_T2B_6_0923_SJ_1C_OM	SJ	OM
ASCC24_T3B_3_0923_SJ_1C_5	SJ	0_5cm
ASCC240_T3C_5_0923_SJ_1C_OM	SJ	OM
ASCC241_T1B_4_0923_SJ_1C_OM	SJ	OM
ASCC242_T1C_3_0923_SJ_1C_OM	SJ	OM
ASCC243_T2C_3_0923_SJ_1C_OM	SJ	OM
ASCC244_T3C_3_0923_SJ_1C_OM	SJ	OM
ASCC245_76_0823_SF_1C_OM	SF	OM
ASCC246_32_0823_SF_1C_OM	SF	OM
ASCC247_151_0823_SF_1C_OM	SF	OM
ASCC248_85_0823_SF_1C_OM	SF	OM
ASCC25_T3C_3_0923_SJ_1C_5	SJ	0_5cm
ASCC250_55_SF_0823_1C_OM	SF	OM
ASCC251_5_0823_SF_1C_OM	SF	OM
ASCC252_84_0823_SF_1C_OM	SF	OM
ASCC255_62_0823_SF_1C_OM	SF	OM
ASCC256_168_0823_SF_1C_OM	SF	OM
ASCC257_75_0823_SF_1C_OM	SF	OM
ASCC258_57_0823_SF_1C_OM	SF	OM
ASCC259_37_0823_SF_1C_OM	SF	OM
ASCC26_C4_6_0923_SJ_1C_15	SJ	5_15cm
ASCC263_122_0823_SF_1C_OM	SF	OM
ASCC264_101_0823_SF_1C_OM	SF	OM
ASCC266_139_0823_SF_1C_OM	SF	OM
ASCC267_26_0823_SF_1C_OM	SF	OM
ASCC268_27_0823_SF_1C_OM	SF	OM
ASCC269_162_0823_SF_1C_OM	SF	OM
ASCC27_T1A_3_0923_SJ_1C_5	SJ	0_5cm
ASCC270_138_0823_SF_1C_OM	SF	OM
ASCC272_43_0823_SF_1C_OM	SF	OM
ASCC273_112_0823_SF_1C_OM	SF	OM
ASCC274_40_0823_SF_1C_OM	SF	OM
ASCC275_125_0823_SF_1C_OM	SF	OM
ASCC276_64_0823_SF_1C_OM	SF	OM
ASCC277_57_0823_SF_1C_5	SF	0_5cm
ASCC278_85_0823_SF_1C_15	SF	5_15cm
ASCC279_168_0823_SF_1C_15	SF	5_15cm
ASCC28_C1_5_0923_SJ_1C_15	SJ	5_15cm
ASCC280_37_0823_SF_1C_15	SF	5_15cm
ASCC281_103_0823_SF_1C_5	SF	0_5cm
ASCC282_154_0823_SF_1C_15	SF	5_15cm
ASCC284_154_0823_SF_1C_5	SF	0_5cm
ASCC286_162_0823_SF_1C_5	SF	0_5cm
ASCC288_8_0823_SF_1C_OM	SF	OM
ASCC289_114_0823_SF_1C_15	SF	5_15cm
ASCC29_C3_3_0923_SJ_1C_15	SJ	5_15cm
ASCC290_101_0823_SF_1C_5	SF	0_5cm
ASCC291_84_0823_SF_1C_15	SF	5_15cm
ASCC292_55_0823_SF_1C_5	SF	0_5cm
ASCC293_62_0823_SF_1C_5	SF	0_5cm
ASCC295_26_0823_SF_1C_5	SF	0_5cm
ASCC296_122_0823_SF_1C_5	SF	0_5cm
ASCC297_64_0823_SF_1C_15	SF	5_15cm
ASCC298_76_0823_SF_1C_5	SF	0_5cm
ASCC299_5_0823_SF_1C_5	SF	0_5cm
ASCC3_T4A_5_0923_SJ_1C_5	SJ	0_5cm
ASCC30_T1A_2_0923_SJ_1C_15	SJ	5_15cm
ASCC300_32_0823_SF_1C_15	SF	5_15cm
ASCC301_16_0823_SF_1C_15	SF	5_15cm
ASCC302_151_0823_SF_1C_5	SF	0_5cm
ASCC304_8_0823_SF_1C_5	SF	0_5cm
ASCC305_38_0823_SF_1C_5	SF	0_5cm
ASCC306_8_0823_SF_1C_15	SF	5_15cm
ASCC307_125_0823_SF_1C_5	SF	0_5cm
ASCC308_64_0823_SF_1C_5	SF	0_5cm
ASCC309_26_0823_SF_1C_15	SF	5_15cm
